Субъект РФ;2022;2023;2024
Белгородская область;27232,10;20041,20;19248,86
Брянская область;2241,20;2393,49;3686,56
Владимирская область;7689,60;10074,89;14416,52
Воронежская область;19661,80;19105,88;28634,41
Ивановская область;671,00;1058,36;787,15
Калужская область;7067,00;10775,05;29490,86
Костромская область;4036,30;679,95;932,42
Курская область;2842,30;3645,71;8082,32
Липецкая область;42888,80;46669,43;28850,63
Московская область;205693,10;235330,94;295528,06
Орловская область;2981,00;1322,11;1748,33
Рязанская область;4046,70;5138,64;8125,74
Смоленская область;4001,90;5084,40;6827,47
Тамбовская область;6581,00;10474,05;10121,86
Тверская область;5260,90;6571,95;8855,67
Тульская область;35404,90;45268,46;42933,42
Ярославская область;14359,80;33711,30;27310,93
г. Москва;722407,50;1272110,70;1628038,23
Республика Карелия;5535,40;5918,32;9975,86
Республика Коми;6374,60;3359,79;2571,44
Архангельская область;1501,00;1161,48;1957,82
Вологодская область;1827,90;2104,90;3213,15
Калининградская область;2970,40;14457,91;36071,12
Ленинградская область;36367,70;47787,13;72712,24
Мурманская область;4717,00;2564,89;3408,05
Новгородская область;5100,30;2460,40;3827,66
Псковская область;889,80;743,48;1187,62
г. Санкт-Петербург;145751,90;184337,07;174074,85
